TARGET_B,TARGET_D,CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT,PER_CAPITA_INCOME
0,,00000478,137,82,0,T,2,36,H,F,5,0,P,0,3,550,218,80,0,40,26,42,1,3,A,1,0.3,10,0.556,10.4,6,5,19,45,120,321,42,7.64,11,13,2,10,9,22,6,130,7.64,23,10815
1,12,00000511,89,82,0,S,1,15,U,F,4,1,M,2,4,1024,225,8,1,22,33,23,0,0,A,1,0.188,13.33,0.125,10,3,1,17,22,58,100,10,10,10,15,5,10,9,22,6,78,10,2,16782
0,,00000527,89,64,0,T,2,39,H,F,2,1,B,2,,684,282,61,0,32,26,17,1,0,A,3,0.364,7.88,0.455,7.4,8,5,13,32,76,133,23,5.78,13,16,3,5,10,24,13,78,5.78,12,13025
0,,00000532,29,,0,R,1,42,U,U,,0,N,0,,1039,525,92,3,36,50,33,0,0,N,1,0.059,20,0.125,20,1,1,24,16,36,110,7,15.71,10,20,10,20,5,11,24,78,15.71,1,19249
0,,00000539,89,75,0,S,1,14,H,M,5,1,B,15,,2003,909,98,0,27,33,19,0,0,A,1,0.063,33,0,0,1,0,26,23,54,173,6,28.83,8,33,25,33,8,19,26,78,28.83,2,32344
1,10,00000542,89,,0,T,2,38,U,M,,0,N,0,,535,192,38,0,21,19,22,0,0,A,1,0.059,15,0,0,1,0,24,16,38,44,7,6.29,12,15,3,15,4,10,24,77,6.29,4,11878
0,,00000544,89,58,0,?,?,.,U,F,2,0,P,0,1,266,222,80,0,0,0,0,1,11,A,1,0.15,11.67,0.111,10,3,1,18,38,97,142,16,8.88,10,15,5,15,11,26,18,78,8.88,7,9958
0,,00000545,137,48,0,S,2,18,H,F,2,0,B,0,8,1221,436,75,0,31,29,26,0,0,A,2,0.211,13,0.111,16,4,1,17,39,90,152,14,10.86,11,16,5,10,8,22,17,111,10.86,4,20091
1,20,00000551,125,85,0,T,2,36,H,F,2,1,P,0,2,340,180,67,0,29,27,46,1,0,A,1,0.063,16,0.1,16,1,1,24,39,89,368,24,15.33,20,25,5,21,7,15,9,119,15.33,10,9343
1,15,00000557,77,,0,R,2,48,H,F,2,0,P,0,2,789,200,81,0,47,19,55,0,0,A,1,0.579,11.27,0.7,10.57,11,7,11,25,78,328,37,8.86,12,15,3,11,8,27,4,77,8.86,16,9717
0,,00000564,89,59,0,C,1,24,H,F,7,1,B,18,,2573,582,82,0,30,54,8,1,0,A,1,0.25,30,0.444,30,4,4,16,25,56,210,10,21,45,50,5,18,11,24,16,79,21,7,19730
0,,00000576,77,47,0,T,1,35,H,F,7,1,B,2,,3770,564,83,0,48,32,49,0,0,A,1,0.059,25,0,0,1,0,25,21,48,141,7,20.14,12,25,13,25,7,15,25,76,20.14,2,30842
1,10,00000578,89,,0,S,2,18,U,F,,0,N,0,,1821,454,79,0,24,36,54,1,0,A,2,0.267,12.5,0.143,10,4,1,17,23,58,96,13,7.38,12,15,3,10,11,27,4,78,7.38,4,17008
0,,00000583,137,76,0,?,?,.,U,M,,0,N,0,2,303,161,74,0,0,0,0,1,1,S,2,0.182,8.5,0.091,10,4,1,21,37,95,144,33,4.36,8,10,2,10,7,19,21,129,4.36,8,8520
1,25,00000591,113,80,0,T,2,37,H,M,5,1,B,2,3,711,223,97,0,58,5,86,1,0,A,1,0.25,29,0.364,28.25,5,4,16,43,108,315,12,26.25,20,35,15,20,11,28,16,109,26.25,6,14751
0,,00000598,77,42,0,U,3,08,H,M,5,1,B,3,7,480,343,82,0,32,19,57,0,0,A,1,0.059,25,0.111,25,1,1,24,23,51,165,7,23.57,5,25,20,25,8,16,24,76,23.57,4,17493
0,,00000603,89,70,0,C,1,23,U,F,,0,N,0,8,1459,377,66,0,39,14,42,1,0,A,2,0.25,15.4,0.182,11.5,5,2,13,31,79,224,16,14,20,25,5,25,9,24,6,78,14,7,19935
0,,00000616,53,,0,U,2,07,H,F,4,0,B,10,3,2475,281,22,0,7,17,29,0,0,A,1,0.118,15,0,0,2,0,19,23,71,107,9,11.89,15,20,5,15,8,26,8,76,11.89,3,14765
0,,00000621,77,,0,U,1,03,U,U,,0,N,0,,2440,362,36,0,19,34,29,0,0,A,1,0.125,37.5,0.25,37.5,2,2,20,16,38,210,7,30,15,40,25,25,7,16,4,76,30,3,17769
0,,00000626,29,56,0,T,2,36,H,M,4,1,B,1,,689,296,70,0,45,35,37,1,1,S,4,0.316,8,0.5,7.6,6,5,18,17,45,60,8,7.5,5,10,5,10,6,16,18,75,7.5,5,11819
0,,00000634,137,,0,U,3,08,U,F,1,0,P,0,1,1608,337,88,0,19,71,10,1,1,S,4,0.35,5,0.364,5,7,4,18,41,104,235,47,5,0,5,5,5,6,15,18,130,5,20,10580
1,25,00000637,77,81,1,S,1,13,H,F,4,0,P,0,8,2865,534,92,0,33,14,52,1,0,A,2,0.35,19.57,0.364,21,7,4,11,34,93,419,27,15.52,25,30,5,20,9,25,6,80,15.52,11,24571
0,,00000640,137,70,0,C,3,31,U,F,,0,N,0,0,1781,105,11,0,10,0,45,1,8,A,1,0.1,8,0.111,5,2,1,26,41,96,180,48,3.75,10,11,1,11,4,10,26,123,3.75,24,5381
0,,00000646,137,63,0,T,1,35,H,M,5,1,M,6,9,1361,665,98,0,22,39,22,1,13,A,1,0.3,9.83,0.222,9,6,2,13,42,116,237,30,7.9,6,11,5,9,9,26,7,122,7.9,16,21294
0,,00000653,77,40,0,S,1,14,H,F,7,0,P,0,8,914,507,92,2,47,65,18,1,0,A,1,0.1,27.5,0.111,40,2,1,19,34,92,239,13,18.38,35,40,5,40,9,23,19,76,18.38,6,16840
1,20,00000661,65,32,0,U,2,05,H,M,6,1,B,4,7,1801,495,79,0,37,26,31,1,0,A,1,0.333,20.14,0.6,20,7,6,16,32,90,331,17,19.47,10,25,15,25,11,26,10,73,19.47,12,18663
0,,00000665,41,53,0,T,2,40,H,F,3,1,B,4,5,742,369,89,1,35,32,11,0,0,A,2,0.143,18.33,0,0,3,0,16,29,75,164,12,13.67,10,20,10,15,11,27,16,73,13.67,1,13642
0,,00000672,89,,0,C,2,27,U,F,2,1,P,0,3,1720,299,53,7,39,54,28,0,0,A,1,0.105,15.5,0.1,16,2,1,26,28,70,148,12,12.33,11,16,5,15,5,14,26,80,12.33,4,14082
1,15,00000675,113,82,0,T,1,34,H,F,5,1,B,2,7,1714,342,77,0,29,43,57,1,1,S,2,0.1,13.5,0.111,15,2,1,21,32,87,205.08,23,8.92,14.92,15,0.08,15,7,17,21,100,8.92,13,18534
1,5,00000683,137,79,0,S,1,14,U,F,,0,N,0,9,2257,695,93,2,33,34,14,1,2,N,3,0.526,5.1,0.7,5.29,10,7,20,51,131,247,52,4.75,7,10,3,5,11,26,20,118,4.75,26,26427
0,,00000687,65,73,0,S,1,12,H,M,7,1,B,2,,1407,578,82,0,29,36,25,1,0,A,4,0.579,6.18,0.7,5.57,11,7,17,30,76,104,18,5.78,6,8,2,8,10,22,17,68,5.78,8,21162
0,,00000689,65,45,0,R,3,50,H,F,7,0,P,0,2,317,182,78,0,23,21,37,1,4,A,1,0.476,5.1,0.6,4.33,10,6,12,35,101,197,47,4.19,8,10,2,10,8,27,5,69,4.19,17,7839
0,,00000696,137,86,0,?,?,.,U,F,,1,N,0,5,793,344,62,0,0,0,0,1,1,S,3,0.632,7.67,0.9,7.56,12,9,12,47,129,323,50,6.46,7,10,3,7,10,30,5,129,6.46,25,13429
0,,00000701,137,,0,R,2,45,U,F,,0,N,0,4,407,214,74,0,30,35,28,1,1,S,2,0.3,30,0.364,26.25,6,4,16,46,124,645,27,23.89,40,50,10,50,10,27,6,121,23.89,14,10149
0,,00000702,101,75,0,T,1,35,H,F,7,1,B,6,9,1125,550,90,0,40,18,63,1,0,A,2,0.286,9.83,0.3,10,6,3,13,38,103,175,22,7.95,7,11,4,10,10,26,13,92,7.95,7,28012
0,,00000706,77,54,0,T,2,36,H,F,5,1,B,13,,508,269,70,0,37,30,35,0,0,A,1,0.067,15,0,0,1,0,24,17,46,97,11,8.82,10,15,5,15,5,15,24,68,8.82,3,15080
0,,00000714,77,33,0,S,2,19,H,F,6,1,P,0,7,2051,417,67,1,18,43,25,1,1,S,4,0.364,26.38,0.545,27.5,8,6,21,39,106,453,30,15.1,35,40,5,38,11,25,21,76,15.1,14,13430
1,35,00000718,101,75,0,C,2,27,H,F,3,0,B,3,2,1215,296,49,1,33,46,26,0,0,A,1,0.15,40.67,0.091,36,3,1,18,31,86,361,16,22.56,40,50,10,36,9,22,18,105,22.56,4,12319
1,2,00000727,65,73,0,R,3,51,H,F,3,1,B,1,,240,232,77,0,27,23,31,1,0,A,4,0.476,2.8,0.8,2.75,10,8,12,28,64,52,23,2.26,4,5,1,2,10,18,7,69,2.26,13,10744
0,,00000740,113,,0,R,1,42,U,U,,0,N,0,0,1212,298,74,0,38,31,44,1,7,A,1,0.2,11.5,0.2,8,4,2,16,32,80,105,16,6.56,17,20,3,15,10,23,4,105,6.56,8,15314
0,,00000743,113,60,0,R,2,46,H,M,5,1,M,15,9,768,304,70,0,28,48,8,1,0,A,2,0.524,10.45,0.4,11.25,11,4,15,39,107,360,37,9.73,10,15,5,10,11,27,11,113,9.73,10,12793
1,11,00000751,125,67,0,U,1,02,U,F,,0,N,0,8,2250,539,80,0,36,34,25,1,3,A,1,0.182,10.25,0.273,10.33,4,3,23,45,107,192,25,7.68,9,12,3,10,8,22,23,122,7.68,16,18081
0,,00000775,65,67,0,S,1,15,H,F,5,0,B,1,8,844,352,78,0,43,9,59,1,0,A,4,0.368,13,0.222,14,7,2,13,29,80,163,15,10.87,13,18,5,15,11,29,11,67,10.87,8,18534
1,18,00000785,77,52,0,C,1,22,U,M,2,1,P,0,2,613,146,2,0,12,18,15,0,0,A,1,0.063,15,0,0,1,0,19,19,49,105,6,17.5,15,25,10,20,7,19,5,66,17.5,3,13209
0,,00000788,65,49,0,T,2,40,H,F,6,1,B,14,,864,404,86,0,30,36,45,0,0,A,1,0.063,40,0.125,40,1,1,21,20,51,140,5,28,15,40,25,40,7,18,21,64,28,3,13208
1,15,00000790,77,71,0,R,2,46,U,M,5,0,P,0,4,580,286,78,0,29,34,29,1,0,A,1,0.053,15,0,0,1,0,18,24,67,92,11,8.36,12,15,3,15,5,16,18,68,8.36,4,12400
1,15,00000793,125,87,0,S,2,17,H,F,5,1,B,23,5,1568,328,28,0,26,38,24,1,0,E,1,0.222,14,0.125,12,4,1,15,37,103,214,21,10.19,18,20,2,16,4,16,15,123,10.19,7,17761
0,,00000804,137,7,0,S,1,11,H,F,5,1,B,8,,1227,471,60,20,36,57,18,1,0,A,3,0.19,6,0.2,7,4,2,21,38,93,114,25,4.56,4,7,3,7,6,13,21,124,4.56,8,17179
0,,00000826,65,17,0,T,3,41,U,F,,0,N,0,1,348,178,80,2,45,36,33,1,0,A,1,0.5,13.11,0.889,12.88,9,8,12,22,72,220,19,11.58,11,16,5,16,7,21,4,65,11.58,11,10244
0,,00000836,65,86,0,S,1,13,H,M,6,1,B,10,9,1638,703,79,2,60,35,63,0,0,A,1,0.111,29,0,0,2,0,26,18,45,148,6,24.67,16,31,15,31,3,7,26,64,24.67,1,37099
0,,00000867,77,52,0,C,2,26,H,M,5,1,B,2,4,923,253,14,0,20,13,56,0,0,A,1,0.059,18,0,0,1,0,17,23,63,93,7,13.29,8,18,10,18,5,14,17,77,13.29,2,20273
1,40,00000894,65,57,0,C,2,27,H,M,5,1,B,12,7,860,392,89,0,40,39,20,1,1,S,4,0.5,19.4,0.455,18.8,10,5,12,36,105,580,34,17.06,20,25,5,21,11,35,4,64,17.06,12,13088
0,,00000898,77,78,0,R,2,49,H,F,2,1,B,0,0,388,290,86,0,29,34,28,1,1,S,2,0.19,9.75,0.2,10,4,2,19,28,76,122,18,6.78,8,11,3,10,6,15,19,67,6.78,6,12373
0,,00000903,41,,0,C,2,25,U,F,1,0,B,4,,528,196,42,10,19,36,10,1,0,A,3,0.222,5.75,0.5,5.75,4,4,16,13,33,42,10,4.2,9,10,1,5,6,14,16,64,4.2,4,9075
0,,00000905,65,65,0,T,1,35,H,M,4,1,B,11,7,1629,483,87,0,26,35,30,0,0,A,1,0.063,15,0,0,1,0,18,18,54,51,5,10.2,10,15,5,15,4,14,18,64,10.2,1,15317
0,,00000908,65,57,0,T,2,38,H,F,7,1,B,38,,665,279,59,4,44,45,12,0,0,A,1,0.095,19,0,0,2,0,21,27,70,155,12,12.92,17,21,4,20,8,18,21,64,12.92,2,12235
0,,00000917,101,47,0,S,1,11,H,M,4,0,B,5,7,715,395,48,0,29,75,10,1,0,A,1,0.143,11.67,0.2,12.5,3,2,20,35,89,194,20,9.7,15,20,5,10,7,17,20,90,9.7,6,14175
0,,00000919,77,57,0,S,1,13,H,M,1,1,B,2,8,925,354,89,0,43,32,33,1,1,S,3,0.263,6.8,0.444,6.75,5,4,18,21,52,79,12,6.58,5,10,5,7,6,13,18,69,6.58,9,17549
1,12,00000931,65,50,0,R,2,49,H,M,1,0,P,0,2,646,239,79,0,27,40,31,1,0,A,4,0.409,5.78,0.455,5.8,9,5,11,32,85,153,30,5.1,4,7,3,7,10,24,11,64,5.1,9,10757
1,10,00000959,89,53,0,C,2,28,H,F,7,1,B,6,8,586,349,89,0,32,35,47,1,0,A,1,0.176,10,0.375,10,3,3,24,27,71,73,10,7.3,10,15,5,15,4,10,24,88,7.3,8,15304
0,,00000968,65,39,0,S,3,21,H,F,6,1,B,5,3,378,233,63,0,32,32,41,0,0,A,1,0.1,15,0.111,10,2,1,18,23,59,63,7,9,15,20,5,20,6,17,18,61,9,2,8807
0,,00000970,77,,0,R,2,45,U,F,1,0,P,0,,529,163,69,0,37,19,43,1,0,A,4,0.2,5.25,0.333,5,4,3,16,30,76,91,18,5.06,1,6,5,5,6,16,16,65,5.06,9,8222
1,8,00000971,29,57,0,T,2,39,H,F,6,1,B,6,,695,222,67,24,35,26,12,1,1,S,4,0.5,8.2,0.6,8.83,10,6,15,27,68,150,20,7.5,8,13,5,8,11,24,4,63,7.5,7,9991
0,,00000985,89,82,0,S,1,12,H,F,5,1,B,6,9,1001,584,98,1,30,29,25,1,1,S,2,0.15,13.33,0.182,12.5,3,2,24,23,62,110,10,11,10,15,5,15,6,15,18,88,11,5,18826
